Brand,Product Name,Category,All Ingredients,Skin Type,Price,Benefits,Rating,Total Ratings,Product URL 
COSRX,Clear Fit Master Patch,Acne / Pimple Patch,"Petroleum Resin, Cellulose Gum, Styrene Isoprene Styrene Block Copolymer, Polyurethane Film, Polyisobutylene, Liquid Paraffin, Tetrakis Methane",All,6,Reduces inflammation by absorbing exudate of breakouts while protecting the breakouts from secondary infection. The zit size will shrink remarkably without leaving scars after a few hours.,4.6,"1,531 ratings",https://www.amazon.com/COSRX-Clear-Master-Patch-Patches/dp/B076DDR998?ref_=ast_sto_dp
COSRX,Acne Pimple Master Patch,Acne / Pimple Patch,"Petroleum Resin, Cellulose Gum, Styrene Isoprene Styrene Block Copolymer, Polyurethane Film, Polyisobutylene, Liquid Paraffin, Tetrakismethane","All, Acne Prone",14.5,"Absorbs & extracts gunk, Faster healing, Prevents scarring",4.4,"55,450 ratings",https://www.amazon.com/Pack-COSRX-Pimple-Master-Patch/dp/B01N8XCGIO?ref_=ast_sto_dp&th=1&psc=1
COSRX,Advanced Snail Mucin Gel Cleanser,Cleanser,"Water, Acrylates Copolymer, Butylene Glycol, Glycerin, Disodium Laureth Sulfosuccinate, Sodium Cocoyl Isethionate, 1,2-Hexanediol, Coco-Glucoside, Lauryl Betaine, Snail Secretion Filtrate, Arginine, Tromethamine, Potassium Cocoyl Glycinate, Fragrance, Carbomer, Sodium Chloride, Ethylhexylglycerin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Polyacrylate, Disodium EDTA","All, Dry, Sensitive",15.99,"Impeccable cleansing deep even to the deepest pores, Minimize stimulation of sensitive skin, Moisturizing care",4.6,"2,961 ratings",https://www.amazon.com/COSRX-Advanced-Cleanser-Secretion-Filtrate/dp/B08H6PHF2N?ref_=ast_sto_dp&th=1&psc=1
COSRX,Salicylic Acid Daily Gentle Cleanser,Cleanser,"Water, Myristic Acid, Sodium Chloride, Ethyl Hexanediol, Cocamidopropyl Betaine, Citrus Limon (Lemon) Fruit Oil, Sodium Methyl Cocoyl Taurate, Ethylhexylglycerin, Stearic Acid, PEG-60 Hydrogenated Castor Oil, Polysorbate 80, Caprylyl Glycol, Glycerin, Potassium Hydroxide, Salicylic Acid, Lauric Acid, Butylene Glycol, Salix Alba (Willow) Bark Water, 1,2-Hexanediol, Disodium EDTA, Glycol Distearate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Citric Acid",Acne Prone,15.69,"cleansing, exfoliating, combat blemishes, remove excess oil and gently buff away dead skin cells, blackheads, whiteheads and other impurities,  soothes troubled skin to give it relief and a fresh, renewed look.",4.6,"1,876 ratings",https://www.amazon.com/Salicylic-Gentle-Cleanser-150milliliter-Blemish/dp/B00OZ6W8DW
COSRX,Low pH Good Morning Cleanser,Cleansing Gel,"Water, Cocamidopropyl Betaine, Sodium Lauroyl Methyl Isethionate, Sodium Chloride, Polysorbate 20, Styrax Japonicus Branch/Fruit/Leaf Extract, Butylene Glycol, Saccharomyces Ferment, Cryptomeria Japonica Leaf Extract, Nelumbo Nucifera Leaf Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pueraria Lobata Root Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Allantoin, Caprylyl Glycol, Ethylhexylglycerin, Betaine Salicylate, Citric Acid, Ethyl Hexanediol, 1,2-Hexanediol, Trisodium Ethylenediamine Disuccinate, Sodium Benzoate, Disodium EDTA","All, Sensitive",14,"Hydrating cleanse without stripping,  Removes impurities, Protects skin barrier, Restores pH Balance",4.5,"17,825 ratings",https://www.amazon.com/COSRX-Good-Morning-Cleanser-150ml/dp/B016NRXO06?ref_=ast_sto_dp&th=1&psc=1
COSRX,Oil Free Ultra Moisturizing Lotion (with Birch Sap),Face Cream & Lotion,"Betula Platyphylla Japonica Juice, Butylene Glycol, Glycerin, Dimethicone, Betaine, Cetearyl Alcohol, 1,2-Hexanediol, Cetearyl Olivate, Sorbitan Olivate, Ethylhexylglycerin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Ethyl Hexanediol, Xanthan Gum, Allantoin, Panthenol, Sodium Hyaluronate, Sodium Lactate, 4-Terpineol, Water","All, Oily, Combination",25," Soothing irritated skin,  Restoring moisture and maintaining hydration level,  Penetrate deep into the skin very fast, Leaving the skin fresh, soft and silky smooth
",4.5,"6,422 ratings",https://www.amazon.com/COSRX-Ultra-Moisturizing-Lotion-Birch/dp/B01CLTKI4A?ref_=ast_sto_dp&th=1&psc=1
COSRX,Ultra-Light Invisible Sunscreen SPF50 PA++++,Sunscreen,"Aloe Barbadensis Leaf Water, Diethylhexyl Succinate, Propanediol, Aqua/Water, Drometrizole Trisiloxane, Ethylhexyl Triazone, Niacinamide, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Terephthalylidene Dicamphor Sulfonic Acid, 1,2-Hexanediol, Behenyl Alcohol, Methyl Trimethicone, Sodium Polyacryloyldimethyl Taurate, Hamamelis Virginiana (Witch Hazel) Leaf Water, Tromethamine, Polyacrylate Crosspolymer-6, Arachidyl Alcohol, Caprylyl Glycol, Ethylhexylglycerin, Arachidyl Glucoside, Sodium Metaphosphate, Adenosine, Tocopherol, Sodium Hyaluronate, Allantoin, Citric Acid, Sodium Benzoate, Potassium Sorbate",All,16,"Light & Fast-Absorbing SPF Hydration boost, Invisible on all skin tones, Non-White cast, Non-Greasy",4.5,165 ratings,https://www.amazon.co.uk/COSRX-Ultra-Light-Lightweight-Fast-Absorbing-Sun-Damaged/dp/B0CYS776TR
COSRX,Aloe Soothing Sun Cream SPF 50+ PA+++,Sunscreen,"WATER, ETHYLHEXYL METHOXYCINNAMATE, GLYCERIN, PROPYLENE GLYCOL, CYCLOPENTASILOXANE, PHENYLBENZIMIDAZOLE SULFONIC ACID, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, DICAPRYLYL CARBONATE, ISOAMYL P-METHOXYCINNAMATE, POTASSIUM CETYL PHOSPHATE, ALCOHOL, DIMETHICONE, BUTYLENE GLYCOL, GLYCERYL STEARATE, TITANIUM DIOXIDE, C14-22 ALCOHOLS, POLYMETHYL METHACRYLATE, CETEARYL ALCOHOL, PEG-100 STEARATE, TRIETHANOLAMINE, SILICA, SODIUM HYDROXIDE, DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER, C12-20 ALKYL GLUCOSIDE, ALUMINUM HYDROXIDE, STEARIC ACID, FRAGRANCE, CAPRYLYL GLYCOL, PHENOXYETHANOL, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, ALOE ARBORESCENS LEAF EXTRACT, DIPOTASSIUM GLYCYRRHIZATE, CARBOMER, XANTHAN GUM, LIMONENE, TOCOPHERYL ACETATE, DISODIUM EDTA, HEXYL CINNAMAL, LINALOOL, BENZYL SALICYLATE, GERANIOL, BENZYL ALCOHOL, CITRONELLOL, BENZYL BENZOATE, CITRAL",All,16,"Block UV rays , Soothes & moisturizes skin , Lightweight texture, doesm't leave white cast",4.4,"3,939 ratings",https://www.amazon.co.uk/COSRX-Hydrating-Sunscreen-Protection-Moisturiser/dp/B00PBX3FLW
COSRX,The Vitamin C 13 Serum,Face Serum,"Water, Ascorbic Acid(13%), Butylene Glycol, Dipropylene Glycol, Tromethamine, 3-0-Ethyl Ascorbic Acid, Panthenol, Acetyl Glucosamine, Caffeine, Sodium Hyaluronate, Sodium Sulfite, Disodium EDTA, Glutathione, Adenosine, Gardenia Florida Fruit Extract, Allantoin, Dextrin, Squalane, Tocotrienols, Tocopherol, Elaeis Guineensis (Palm) Oil, Arginine, Niacinamide, Pentylene Glycol, Glycyrrhiza Glabra (Licorice) Root Extract","Sensitive, Aging",21,"Reduces Hyperpigmentation ,  fight early signs of aging ,fights dullness, improves skin radiance",4.3,"1,233 ratings",https://www.amazon.com/COSRX-Hyaluronic-Brightening-Hydrating-Testing-Free/dp/B0BS8M8Q5L
COSRX,The Vitamin C 23 Serum,Face Serum,"Water, Ascorbic Acid(23%), Propanediol, Dimethicone, Tromethamine, Panthenol, Ethyl Ascorbyl Ether, Squalane, Caffeine, Sodium Chloride, Sodium Hyaluronate, Sodium Sulfite, Disodium EDTA, Glutathione, Adenosine, Acetyl Glucosamine, Gardenia Florida Fruit Extract, Allantoin, Dextrin, Tocotrienols, Tocopherol, Elaeis Guineensis (Palm) Oil, Butylene Glycol, Arginine, Niacinamide, Pentylene Glycol, Alcohol Denat., Helianthus Annuus (Sunflower) Seed Oil, Glycyrrhiza Glabra (Licorice) Root Extract, Methyl Trimethicone, Carthamus Tinctorius (Safflower) Seed Oil, Camellia Japonica Seed Oil, Daucus Carota Sativa (Carrot) Root Extract, Beta-Carotene",Sensitive,25,"Targets: Hyperpigmentation , aging signs ,Dullness ,Uneven skin tone ,Dark spots",4.1,"5,158 ratings",https://www.amazon.com/COSRX-Hyaluronic-Brightening-Hydrating-Testing-Free/dp/B09ZY8T55Y
