brand name,produc name,category,price (PKR from naheed),skin type,ingredients,benefits,rating,total ratings,product url
Neutrogena,"Retinol Boost Anti Age Night Cream, 50ml",Night Cream/Moisturizer,7000,"All, Aging","Aqua, Pentaerythrityl Tetraethylhexanoate, Dimethicone, Glycerin, PPG-15 Stearyl Ether, Stearyl Alcohol, Cetearyl Alcohol, Butylene Glycol, Ceteareth-20, Isohexadecane, Retinol, Hydrolyzed Myrtus Communis Leaf Extract, Caprylic/Capric Triglyceride, Ethylhexylglycerin, Sodium Hyaluronate, Caprylyl Glycol, Polyacrylamide, Cellulose, C13-14 Isoparaffin, Laureth-7, Dimethicone Crosspolymer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Disodium EDTA, Sodium Hydroxide, BHT, Ascorbic Acid, Phenoxyethanol, Chlorphenesin, Parfum. [PR-0003168]","Targets fine lines and wrinkles for visibly younger skin
,Powered by pure retinol for effective anti-aging benefits
,Deeply hydrates and nourishes while you sleep
,Improves skin tone and texture, promoting a radiant glow",4.2,287,https://www.amazon.co.uk/Neutrogena-Retinol-Boost-Night-Cream/dp/B0C784F52M?th=1
Neutrogena,"Retinol Boost Anti-Aging Eye Cream, Fragrance Free, 15ml",Eye Care,4500,"All, Aging","Aqua, Pentaerythrityl Tetraethylhexanoate, Dimethicone, Glycerin, PPG-15 Stearyl Ether, Stearyl Alcohol, Cetearyl Alcohol, Butylene Glycol, Ceteareth-20, Isohexadecane, Retinol, Hydrolyzed Myrtus Communis Leaf Extract, Caprylic/Capric Triglyceride, Ethylhexylglycerin, Sodium Hyaluronate, Caprylyl Glycol, Polyacrylamide, Cellulose, C13-14 Isoparaffin, Laureth-7, Dimethicone Crosspolymer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Disodium EDTA, Sodium Hydroxide, BHT, Ascorbic Acid, Phenoxyethanol, Chlorphenesin. [PR-0003158]","moisturises to improve skin tone & texture around the eyes, while targeting multiple visible signs of ageing",4.2,287,https://www.amazon.co.uk/Neutrogena-Retinol-Boost-Eye-Cream/dp/B0C784F52M?th=1
Neutrogena,"Retinol Boost Anti-Aging Day Cream With SPF 15, 50ml",Day Cream/Moisturizer,8500,"All, Aging","Aqua, Homosalate, C12-15 Alkyl Benzoate, Ethylhexyl Salicylate, Dimethicone, Octocrylene, Glycerin, Butyl Methoxydibenzoylmethane, Cetyl Alcohol, Steareth-21, Trisiloxane, Cellulose, Stearyl Alcohol, Retinol, Hydrolyzed Myrtus Communis Leaf Extract, Caprylic/Capric Triglyceride, Sodium Hyaluronate, Ethylhexylglycerin, Caprylyl Glycol, Glyceryl Stearate, PEG-100 Stearate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Xanthan Gum, Disodium EDTA, Sodium Hydroxide, BHT, Ascorbic Acid, Phenoxyethanol, Chlorphenesin, Parfum. [PR-0004203]"," improves tone and texture to help the skin glow. It absorbs quickly and targets multiple visible signs of early ageing (including fine lines, wrinkles, dryness, pigmentation spots and a lack of firmness)",4.3,93,https://www.amazon.co.uk/Neutrogena-Retinol-Boost-Day-Cream/dp/B0C785CC24
Neutrogena,"Bright Boost Neoglucosamine AHA+PHA Gel Cream, For All Skin Types, Reduce Hyperpigmentation & Dark Spots, 50ml",Gel Cream,4050,All,"AQUA, DIMETHICONE, GLYCERIN, MANDELIC ACID, GLUCONOLACTONE, ACETYL GLUCOSAMINE, TRIETHYL CITRATE, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, POLYACRYLATE CROSSPOLYMER-6, BUTYLENE GLYCOL, ETHYLHEXYLGLYCERIN, SQUALANE, ALUMINUM STARCH OCTENYLSUCCINATE, DIMETHICONOL, MICA, SILICA, TIN OXIDE, CETEARYL OLIVATE, SORBITAN OLIVATE, SORBITAN ISOSTEARATE, POLYSORBATE 60, CETEARYL ALCOHOL, DIMETHICONE CROSSPOLYMER, COCO-GLUCOSIDE, T-BUTYL ALCOHOL, SUCCINOGLYCAN, DISODIUM EDTA, SODIUM HYDROXIDE, CHLORPHENESIN, PHENOXYETHANOL, PARFUM, BENZYL SALICYLATE, CITRONELLOL, CI 77891, CI 16035. [PR-0000816]","Prevent hyperpigmentation
,Reduce the appearance of dark spots",4.3,6053,https://www.amazon.com/Neutrogena-Brightening-Moisturizing-Resurfacing-Neoglucosamine/dp/B07T8F3VS9
Neutrogena,"Bright Boost Neoglucosamine Illuminating Serum, For All Skin Types, Reduce Hyperpigmentation & Dark Spots, 30ml",Serum,4500,All,"Water (eau), Glycerin, Dimethicone, Acetyl Glucosamine, Propylene Glycol, Dimethiconol, Phenoxyethanol, Carbomer, Tetrahydrodiferuloylmethane, Hexylresorcinol, Disodium EDTA, Sodium Hydroxide, Dimethicone/ Vinyl Dimethicone Crosspolymer, Pentylene Glycol, Parfum, Amodimethicone, Ethylhexylglycerin, Silica, Mica, Titanium Dioxide.",exfoliates & reduces the look of imperfections,4.3,3551,https://www.amazon.com/Neutrogena-Illuminating-Neoglucosamine-Resurfacing-Hyperpigmentation/dp/B07T8F816V
Neutrogena,"Soothing Clear Turmeric Mask, Oils & Sulphates Free, 50ml",Face Mask,2500,"Acne Prone/Spot Prone, Combination","[PR-0002937] Aqua, Glycerin, Kaolin, Bentonite, Sodium Methyl Cocoyl Taurate, CI 77891, Trideceth-9, Salicylic Acid, C12-15 Alkyl Lactate, Curcuma Longa Root Extract, Cocamidopropyl PG-Dimonium Chloride Phosphate, Menthol, Cetyl Lactate, Cetyl Alcohol, PEG-5 Ethylhexanoate, Sodium C14-16 Olefin Sulfonate, Sodium Chloride, Xanthan Gum, Disodium EDTA, Citric Acid, Sodium Citrate, Sodium Hydroxide, Phenoxyethanol, Chlorphenesin, Benzalkonium Chloride, Parfum, CI 77492","preserves the skin's essential moisture, and soothes skin for a balanced, healthy look, Great for sensitive spot-prone, combination or dehydrated skin",4.1,318,https://www.amazon.ae/Neutrogena-Soothing-Clear-Absorbs-Stressed/dp/B09RKF1JNL?th=1
Neutrogena,"Bright Boost Gel Fluid SPF30 With Neoglucosamine +Vitamin C & E, Reduce Hyperpigmentation & Dark Spots, 50ml",,3600,All,"AQUA, HOMOSALATE, GLYCERIN, ETHYLHEXYL SALICYLATE, CAPRYLYL METHICONE, PHENYLBENZIMIDAZOLE SULFONIC ACID, OCTOCRYLENE, BUTYL METHOXYDIBENZOYLMETHANE, DIISOPROPYL ADIPATE, ACETYL GLUCOSAMINE, DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER, C14-22 ALCOHOLS, MORINGA OLEIFERA SEED EXTRACT, HYDROXYACETOPHENONE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, MICA, CAPRYLYL GLYCOL, TIN OXIDE, SILICA, ISOHEXADECANE, GLYCERYL STEARATE, SORBITAN ISOSTEARATE, C12-20 ALKYL GLUCOSIDE, PEG-100 STEARATE, POLYSORBATE 60, ACRYLATES COPOLYMER, XANTHAN GUM, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, DISODIUM EDTA, SODIUM HYDROXIDE, CITRIC ACID, DISODIUM PHOSPHATE, TOCOPHERYL ACETATE, SODIUM ASCORBYL PHOSPHATE, PHENOXYETHANOL, CHLORPHENESIN, PARFUM, CITRONELLOL, BENZYL SALICYLATE, CI 77891, CI 16035. [PR-0000972]","It helps to prevent hyperpigmentation
,reduces the appearance of dark spots for more even, healthy-looking brighter skin.
,It also provides UVA/UVB broad spectrum skin protection",3.9,91,https://www.amazon.eg/-/en/Neutrogena-Fluid-SPF30-Bright-Boost/dp/B09485J23H?th=1
Neutrogena,"Soothing Clear Turmeric Oil-Free Moisturizer, 75ml",Moisturizer,2500,Sensitive,"[PR-0000917] Aqua, Glycerin, Dimethicone, Curcuma Longa Extract, Zea Mays Starch, Ethylhexylglycerin, Panthenol, Caprylyl Glycol, Polyacrylamide, Cetearyl Olivate, Sorbitan Olivate, Dimethicone Crosspolymer, C13-14 Isoparaffin, Laureth-7, Carbomer, Citric Acid, Sodium Hydroxide, Tocopherol, Phenoxyethanol, Parfum, Limonene, Eugenol, Benzyl Benzoate, Geraniol, Coumarin, CI 19140, CI 15985","t soothes stressed and impurity-prone skin,  Will not fade, clog pores or leave no sticky residue",4.3,2486,https://www.amazon.com.be/-/en/Neutrogena-Turmeric-Moisturizer-Sensitive-Impurities/dp/B087ZG94GD?th=1
Neutrogena,"Soothing Clear Turmeric Mist Toner, 125ml",Mist/Toner,2500,Sensitive,"[PR-0000940] Aqua, Glycerin, Glycereth-26, Curcuma Longa Extract, Panthenol, Polysorbate 20, Citric Acid, Phenoxyethanol, Sodium Benzoate, Parfum, CI 15985","Refreshes, calms, and soothes skin while leaving no residue",4.4,1731,https://www.amazon.co.uk/Neutrogena-Clear-Soothe-Toning-Mist/dp/B081S132B6?th=1
Neutrogena,"Soothing Clear Turmeric Mousse Cleanser, For Spot Prome Skin, 150ml",Cleanser,2800,"Sensitive, Acne Prone","Aqua, Cocamidopropyl Betaine, Glycerin, Decyl Glucoside, Sodium Hydrolyzed Potato Starch Dodecenylsuccinate, Citric Acid, Sodium Chloride, Sodium Hydroxide, Curcuma Longa Extract, Linoleamidopropyl PG-Dimonium Chloride Phosphate, Potassium Acrylates Copolymer, Propylene Glycol, Disodium Tetrapropenyl Succinate, Sodium Lauryl Sulfate, Sodium C14-16 Olefin Sulfonate, Disodium EDTA, Tocopheryl Acetate, Phenoxyethanol, Sodium Benzoate, Parfum, CI 15985 [PR-0000932]"," effectively removes pore-clogging dirt, oil, and makeup without stripping for soft and healthy-looking skin, calming",4.5,1354,https://www.amazon.com/Neutrogena-Soothing-Cleanser-Acne-Prone-Paraben-Free/dp/B084K55WXD
