Brand,Product Name,Price,Product Rating,URL
Cera Ve,Cerave Acne Control Cleanser - 237ml,"Rs.7,125",0.00,https://cozmetica.pk/products/cerave-acne-control-cleanser-237ml?_pos=1&_sid=e72b5b203&_ss=r
Cera Ve,CeraVe Daily Moisturizing Lotion - 87ml,"Rs.3,532",5.00,https://cozmetica.pk/products/cerave-daily-moisturizing-lotion-87ml?_pos=2&_sid=e72b5b203&_ss=r
Cera Ve,CeraVe Moisturizing Cream - 340g,"Rs.8,024",5.00,https://cozmetica.pk/products/cerave-moisturizing-cream-340g?_pos=3&_sid=e72b5b203&_ss=r
Cera Ve,CeraVe Hydrating Facial Cleanser - 237ml,"Rs.7,125",5.00,https://cozmetica.pk/products/cerave-hydrating-facial-cleanser-237ml?_pos=4&_sid=e72b5b203&_ss=r
Cera Ve,CeraVe Hydrating Cream To Foam Cleanser - 237ml,"Rs.7,125",4.00,https://cozmetica.pk/products/cerave-hydrating-cream-to-foam-cleanser-237ml?_pos=5&_sid=e72b5b203&_ss=r
Cera Ve,CeraVe Renewing SA Cleanser - 237ml,"Rs.7,493",5.00,https://cozmetica.pk/products/cerave-renewing-sa-cleanser-237ml?_pos=6&_sid=e72b5b203&_ss=r
Cera Ve,CeraVe Foaming Facial Cleanser - 87ml,"Rs.3,202",4.67,https://cozmetica.pk/products/copy-of-cerave-renewing-sa-cleanser-237ml?_pos=7&_sid=e72b5b203&_ss=r
Cera Ve,CeraVe Hydrating Facial Cleanser - 87ml,"Rs.3,202",5.00,https://cozmetica.pk/products/creave-hydrating-facial-cleanser-normal-to-dry-87ml?_pos=8&_sid=e72b5b203&_ss=r
Cera Ve,CeraVe SA Smoothing Cleanser - 236ml,"Rs.6,292",0.00,https://cozmetica.pk/products/cerave-sa-smoothing-cleanser-236ml?_pos=9&_sid=e72b5b203&_ss=r
Cera Ve,CeraVe Eye Repair Cream - 14.2g,"Rs.6,750",5.00,https://cozmetica.pk/products/cerave-eye-repair-cream-14-2g?_pos=10&_sid=e72b5b203&_ss=r
Cera Ve,CeraVe Daily Moisturizing Lotion - 237ml,"Rs.7,493",5.00,https://cozmetica.pk/products/cerave-daily-moisturizing-lotion-237-ml?_pos=11&_sid=e72b5b203&_ss=r
Cera Ve,Cerave Acne Control Cleanser 10% BPO - 237ml,"Rs.8,175",0.00,https://cozmetica.pk/products/cerave-acne-control-cleanser-10-bpo-237ml?_pos=12&_sid=e72b5b203&_ss=r
Cera Ve,CeraVe SA Renewing Lotion - 237ml,"Rs.8,024",0.00,https://cozmetica.pk/products/cerave-sa-renewing-lotion-236ml?_pos=13&_sid=e72b5b203&_ss=r
Cera Ve,CeraVe Foaming Facial Cleanser - 237ml,"Rs.7,125",4.50,https://cozmetica.pk/products/cerave-foaming-facial-cleanser-237ml?_pos=14&_sid=e72b5b203&_ss=r
Cera Ve,CeraVe Itch Relief Lotion - 237ml,"Rs.9,315",0.00,https://cozmetica.pk/products/cerave-itch-relief-lotion-237ml?_pos=15&_sid=e72b5b203&_ss=r
Conatural,Conatural Organic Sweet Almond Oil - 250 ML,,0.00,https://cozmetica.pk/products/conatural-organic-sweet-almond-oil-250-ml?_pos=1&_sid=71c40409b&_ss=r
Conatural,Conatural Rose Water - 60ml,,0.00,https://cozmetica.pk/products/conatural-rose-water?_pos=2&_sid=71c40409b&_ss=r
Conatural,Conatural Tea Tree Essential Oil,,5.00,https://cozmetica.pk/products/conatural-tea-tree-essential-oil?_pos=3&_sid=71c40409b&_ss=r
Conatural,Conatural Organic Age Defying Cream,,0.00,https://cozmetica.pk/products/conatural-organic-age-defying-cream?_pos=4&_sid=71c40409b&_ss=r
Conatural,Conatural Sweet Orange Essential Oil,,0.00,https://cozmetica.pk/products/conatural-sweet-orange-essential-oil?_pos=5&_sid=71c40409b&_ss=r
Conatural,Conatural Hair Conditioner,,5.00,https://cozmetica.pk/products/conatural-hair-conditioner?_pos=6&_sid=71c40409b&_ss=r
Conatural,Conatural Organic Avocado Oil 120ML,,0.00,https://cozmetica.pk/products/conatural-organic-avocado-oil-120ml?_pos=7&_sid=71c40409b&_ss=r
