Brand,Name,Price,ReviewText,Rating
Conatural,Conatural Hair Conditioner,,Conatural Hair Conditioner,
Conatural,Conatural Tea Tree Essential Oil,,Product is very nice,
Conatural,Conatural Saffron Complexion Builder,,"Very good cream, not irritating, although has a strong smell, which personally I don't mind but very good product! Will purchase again.",
Cosrx,Cosrx Acne Pimple Master Patch (24 Patches),Rs.849,Cosrx Acne Pimple Master Patch (24 Patches),
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",The Ordinary Niacinamide 10% + Zinc 1% Serum,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",Original one....,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",Its so good,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",Me ne liya pora use karny ke bad bta Rahi ho it's orignal 100,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",I love it. Thank you,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",All ordinary products are amazing and cozmetica is the only store which I can trust in Pakistan,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",The Ordinary Niacinamide 10% + Zinc 1% Serum,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",Amazing and original product,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",Nice,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",Statisfied for the product,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",Excellent service and product l will recommend cozmetica to others.,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",The Ordinary Niacinamide 10% + Zinc 1% Serum,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",i am apply zinc 1% serum best product skin.,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",The Ordinary Niacinamide 10% + Zinc 1% Serum,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",The Ordinary Niacinamide 10% + Zinc 1% Serum,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",Loved the products but it was not for my skin type (I ordered ordinary serum for acne scar) but it’s not their fault!! The delivery was great and the packaging was fabulous,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",Good product,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799","Best packing and original product,, satisfactory",
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",Original product,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",The Ordinary Niacinamide 10% + Zinc 1% Serum,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",Best hai,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",Yes this page is sale to original product I m satisfied,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",i really liked the results of this serum ... its original,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799","cozmetica online store is authentic, they provide original products, so i ❤️ this store",
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",Highly recommended,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",This serum is magic for my skin🤗,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",The Ordinary Niacinamide 10% + Zinc 1% Serum,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",The Ordinary Niacinamide 10% + Zinc 1% Serum for All Skin Types,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",Excellent,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",Its original and awesome. Highly recommended,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",All time favorite serum received My parcel today well packeg delivered on time and 💯 percent authentic product ALhamduliALLAH love cozmatica will shop again inshALLAH ❤️❤️❤️❤️🥰🥰🥰🥰🥰,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",It was my 2nd time order . Very happy and satisfied.,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",The Ordinary Niacinamide 10% + Zinc 1% Serum for All Skin Types,
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799","I Love that serum , so amazing I'll order more products from this store !",
