Brand,Product Name,Category,Price,skin type,Benefit,Product Rating,total ratings,URL,Ingredients
The INKEY List,Oat Cleansing Balm,Face Wash & Cleansers,$13 ,All,"Removes Makeup and Impurities, Reduces Redness",4.2,3886,https://www.amazon.com/INKEY-List-Cleansing-Removes-Impurities/dp/B08GJ58Z6M?th=1,"['Prunus Amygdalus Dulcis (Sweet Almond) Oil, Cetearyl Alcohol, PEG-6 Caprylic/Capric Glycerides, Avena Sativa (Oat) Kernel Oil, Candelilla Cera (Cire de candelilla), Silica, Sorbitan Stearate, Tribehenin, PEG-60 Almond Glycerides, Avena Sativa (Oat) Kernel Flour, Aqua (Water/Eau), Benzyl Alcohol, Phenoxyethanol, Lecithin, 1,2-Hexanediol, Ascorbyl Palmitate, Tocopherol, Biosaccharide Gum-4, Helianthus Annuus (Sunflower) Seed Oil.']"
The INKEY List,Mini Oat Cleansing Balm,Face Wash & Cleansers,$7 ,All,"Removes Makeup and Impurities, Reduces Redness",4.2,3886,https://www.amazon.com/INKEY-List-Mini-Cleansing-Balm/dp/B09T653YY7,"['Prunus Amygdalus Dulcis (Sweet Almond) Oil, Cetearyl Alcohol, PEG-6 Caprylic/Capric Glycerides, Avena Sativa (Oat) Kernel Oil, Candelilla Cera (Cire de candelilla), Silica, Sorbitan Stearate, Tribehenin, PEG-60 Almond Glycerides, Avena Sativa (Oat) Kernel Flour, Aqua (Water/Eau), Benzyl Alcohol, Phenoxyethanol, Lecithin, 1,2-Hexanediol, Ascorbyl Palmitate, Tocopherol, Biosaccharide Gum-4, Helianthus Annuus (Sunflower) Seed Oil.']"
The INKEY List,Hyaluronic Acid Hydrating Serum,Face Serums,$10 ,All,"Helps dehydrated skin, and fine lines and wrinkles",4.5,7316,https://www.amazon.com/The-INKEY-List-Hyaluronic-Acid/dp/B07GL7XD64,"['Water (Aqua/Eau), Propanediol, Sodium Hyaluronate, Glycerin, Butylene Glycol, Phenoxyethanol, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Leuconostoc/Radish Root Ferment Filtrate, Hyaluronic Acid, Carbomer, Sodium Lactate, Polysorbate 20, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1.']"
The INKEY List,Caffeine Eye Cream,Eye Creams & Treatments,$11 ,All,Visibly improves dark circles and puffiness,4,3792,https://www.amazon.com/Inkey-List-Caffeine-Cream-Travel/dp/B07GLNN427,"['Water, Glycerin, Dicaprylyl Carbonate, Propanediol, Polyglyceryl-6 Distearate, Cetyl Alcohol, Hydroxyethyl Acrylate/sodium Acryloyldimethyl Taurate Copolymer, Jojoba Esters, Glyceryl Dibehenate, Albizia Julibrissin Bark Extract, Squalane, Caffeine, Polyglyceryl-3 Beeswax, Phospholipids, Tribehenin, Ethylhexylglycerin, Xanthan Gum, Glycine Soja (Soybean) Extract, Polysorbate 60, Disodium Edta, Glyceryl Behenate, Glycolipids, Butylene', 'Glycol, Glycine Soja (Soybean) Sterol, Leuconostoc/radish Root Ferment Filtrate, Hyaluronic Acid, Carbomer, Darutoside, Polysorbate 20, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Phenoxyethanol.']"
The INKEY List,Salicylic Acid Acne + Pore Cleanser,Face Wash & Cleansers,$18.98 ,"Normal, Combination, Oily","isibly reduces blackheads and breakouts for a clearer-looking complexion, helps to unclog pores and remove dirt, impurities, and excess oil leaving skin feeling deeply clean and clarified, helps to soothe and comfort breakout-prone skin",4.4,1900,https://www.amazon.com/Inkey-List-Salicylic-Acid-Cleanser/dp/B07X4G39YM,"['Aqua (Water), Propanediol, Glycerin, Sodium Methyl Cocoyl Taurate, Cocamidopropyl Betaine, PEG-120 Methyl Glucose Dioleate, Salicylic Acid, PEG-150 Pentaerythrityl Tetrastearate, PEG-6 Caprylic/Capric Glycerides, Betaine, Zinc PCA, Phenoxyethanol, Sodium Chloride, Allantoin, Sodium Hydroxide, Coco-Glucoside, Glyceryl Oleate, Benzyl Alcohol, Coconut Acid, Ethylhexylglycerin, Sodium Benzoate, Citric Acid, Dehydroacetic Acid, Trisodium Ethylenediamine Disuccinate, Tocopherol, Hydrogenated Palm Glycerides Citrate.']"
The INKEY List,Retinol Anti-Aging Serum,Face Serums,$15 ,"All, Aging","visibly improve the appearance of fine lines, wrinkles and overall skin tone and texture",4.4,3538,https://www.amazon.com/Inkey-List-Retinol-Face-Serum/dp/B07GL79F1B,"['Water, Glycerin, Butylene Glycol, Propanediol, Dicaprylyl Carbonate, Dimethicone, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Caprylyl Glycol, Phospholipids, Caprylic/Capric Glycerides, Squalane, Dimethyl Isosorbide, Glycine Soja (Soybean) Extract, Carbomer, Sodium Ascorbate, Tocopherol, Polysorbate 60, Tocopheryl Acetate, Glycolipids, Sodium Hydroxide, Disodium Edta, Hydroxypinacolone Retinoate, Retinol, Glycine Soja (Soybean) Sterol, Leuconostoc/Radish Root Ferment Filtrate, Peg-40 Hydrogenated Castor Oil, Hyaluronic Acid, Polysorbate 20, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Phenoxyethanol.']"
The INKEY List,Brighten-i Eye Cream,Eye Creams & Treatments,$13 ,All,Instantly illuminate and visibly brighten dark circles,4,1530,https://www.amazon.com/INKEY-List-Brighten-i-Eye-Cream/dp/B07Y5V445Q,"['Water, dimethicone, coco-caprylate/caprate, glycerin, caprylic/capric triglyceride, glyceryl stearate, candelilla/jojoba/rice bran polyglyceryl-3 esters, punica granatum (pomegranate) seed oil, ethylhexyl palmitate, mica, phenoxyethanol, cetearyl alcohol, sodium stearoyl lactylate, benzyl alcohol, polysilicone-11, hydroxyacetophenone, sodium stearoyl glutamate, tocopheryl acetate, acrylates/c10-30 alkyl acrylate crosspolymer, sodium gluconate, ethylhexylglycerin, silica, dehydroacetic acid, diglucosyl gallic acid, sodium hydroxide, trihydroxystearin, tin oxide, sodium hyaluronate, glucomannan, CI 77891 (Titanium Dioxide)']"
The INKEY List,Niacinamide Oil Control Serum,Face Serums,$10 ,All," enhance skin brightness, improve texture, and strengthen the skin’s moisture barrier, target dullness, uneven texture, and excess oil, reduce the appearance of pores, and instantly boosts skin radiance",4.4,1523,https://www.amazon.com/INKEY-List-Niacinamide-Lightweight-Appearance/dp/B09N9Z7NBS?th=1,"['Water (Aqua), Niacinamide,Glycerin, Propanediol, Butylene Glycol, Squalane, Leuconostoc/Radish Root Ferment Filtrate, Hyaluronic Acid, Phenoxyethanol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxyethylcellulose, Phospholipids, Xanthan Gum, Glycine Soja (Soybean) Extract, Allantoin, Disodium Edta, Polysorbate 60, Panthenol, Glycolipids, Glycine Soja (Soybean) Sterol, Disodium Phosphate, Citric Acid, Sodium Phosphate.']"
The INKEY List,Polyglutamic Acid Hydrating Serum,Face Serums,$23.90 ,All,"Hydrating,Plumping,Smoothening,Plumps,Brightening, reduces the appearance of fine lines, and evens out skin tone",4.4,1059,https://www.amazon.com/INKEY-List-Polyglutamic-Moisturize-Radiance/dp/B09N9ZNP9M,"['Water, Dimethicone, Butylene Glycol, Bis-PEG-12 Dimethicone, Glycerin, Polymethylsilsesquioxane, Polysilicone-11, Phenoxyethanol, Polyglutamic Acid, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isohexadecane, Propanediol, Coco-Glucoside, Sodium Benzoate, Hydroxyethylcellulose, Polysorbate 80, Ethylhexylglycerin, Potassium Sorbate, Decyl Glucoside, Dimethylacrylamide/Acrylic Acid/Polystyrene Ethyl Methacrylate Copolymer, Sorbitan Oleate, Trisodium Ethylenediamine Disuccinate, Caprylyl Glycol, Hexylene Glycol, Oryza Sativa (Rice) Bran Extract.']"
The INKEY List,Succinic Acid Acne Treatment,Blemish & Acne Treatments,$13 ,"Acne Prone, Oily, Combination, Sensitive","Clear blemishes fast, reduce inflammation and prevent clogged pores with our non-drying, targeted treatment",4.4,229,https://www.amazon.com/INKEY-List-Succinic-Acid-Treatment/dp/B08SR359H3,"['Water (Aqua/Eau), Caprylic/Capric Triglyceride, Glyceryl Stearate SE, Stearic Acid, Cetearyl Alcohol, Colloidal Sulfur, Glycerin, Succinic Acid, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Salicylic Acid, Phenoxyethanol, Squalane, Benzyl Alcohol, Sodium Hyaluronate, Polysorbate 60, Ethylhexylglycerin, Sodium Hydroxide, Dehydroacetic Acid, Malachite Extract, Sorbitan Isostearate, Trisodium Ethylenediamine Disuccinate, CI 75810 (Chlorophyllin-Copper Complex).']"
The INKEY List,Peptide Moisturizer,Moisturizers,$17 ,All," aiming to reduce the appearance of fine line & wrinkles and balance skin's natural oil levels, hydrate skin, leaving skin looking youthful and radiant",4.5,923,https://www.amazon.com/Inkey-List-Moisturizer-Appearance-Wrinkles/dp/B09MRGXSHL,"['Aqua (Water/Eau), Caprylic/Capric Triglyceride, Glycerin, C12-15 Alkyl Benzoate, Cetearyl Alcohol, Glyceryl Stearate SE, Betaine, Butylene Glycol, Phenoxyethanol, Benzyl Alcohol, Carbomer, Butyrospermum Parkii (Shea) Butter, Sodium Stearoyl Glutamate, Sodium Hydroxide, Ethylhexylglycerin, Sodium Gluconate, Tocopheryl Acetate, Dehydroacetic Acid, Hydrogenated Lecithin, Phenethyl Alcohol, Acetyl Hexapeptide-37, Maltodextrin, Pentapeptide-48.']"
