Brand,Product Name,Price,Product Rating,URL
Ordinary,The Ordinary- Hyaluronic Acid 2% + B5,"PKR 3,999.00",4.78,https://judge.me/reviews/reanapk.myshopify.com/products/the-ordinary-hyaluronic-acid-2-b5
Ordinary,The Ordinary- Retinol 1% In Squalane 30Ml,"PKR 3,719.00",4.70,https://judge.me/reviews/reanapk.myshopify.com/products/the-ordinary-retinol-1-in-squalane-30ml
Ordinary,The Ordinary- Niacinamide 10% + Zinc 1% 30Ml,"PKR 2,799.00",4.82,https://judge.me/reviews/reanapk.myshopify.com/products/the-ordinary-niacinamide-10-zinc-1-30ml
Ordinary,THE ORDINARY Niacinamide 10% + Zinc 1%,"From PKR 2,880.00",4.68,https://judge.me/reviews/https-www-colorshow-pk.myshopify.com/products/the-ordinary-niacinamide-10-zinc-1
Ordinary,The Ordinary Salicylic Acid 2% Solution,"PKR 3,380.00",4.71,https://judge.me/reviews/https-www-colorshow-pk.myshopify.com/products/the-ordinary-salicylic-acid-2-solution
Ordinary,The Ordinary Alpha Arbutin 2% + HA,"PKR 4,760.00",4.41,https://judge.me/reviews/https-www-colorshow-pk.myshopify.com/products/the-ordinary-alpha-arbutin-2-ha
Ordinary,The Ordinary Lactic Acid 5% + HA,"PKR 3,850.00",4.23,https://judge.me/reviews/https-www-colorshow-pk.myshopify.com/products/the-ordinary-lactic-acid-5-ha
Ordinary,THE ORDINARY - NIACINAMIDE 10% + Zinc 1%,"From PKR 4,730.78",4.82,https://judge.me/reviews/glowsecret.myshopify.com/products/the-ordinary-niacinamide-10-zinc-1
Ordinary,The Ordinary Lactic Acid 10% + HA 2%,"PKR 4,060.00",4.13,https://judge.me/reviews/https-www-colorshow-pk.myshopify.com/products/the-ordinary-lactic-acid-10-ha-2
Ordinary,TO Niacinamide 10% + Zinc 1% (60ml),"PKR 4,332.91",4.97,https://judge.me/reviews/jdee-spree.myshopify.com/products/to-niacinamide-10-zinc-1-60ml
Ordinary,TO Niacinamide Serum,"From PKR 3,440.00",5.00,https://judge.me/reviews/medoget.myshopify.com/products/to-niacinamide-oil-control-serum
Ordinary,TO Alpha Arbutin 2% + HA,"From PKR 3,837.72",4.86,https://judge.me/reviews/jdee-spree.myshopify.com/products/to-alpha-arbutin-2-ha
Ordinary,TO AHA 30% + BHA 2% Peeling Solution,"PKR 3,590.12",5.00,https://judge.me/reviews/jdee-spree.myshopify.com/products/to-aha-30-bha-2-peeling-solution
Ordinary,TO Glycolic Acid 7% Toning Solution,"PKR 4,023.41",5.00,https://judge.me/reviews/jdee-spree.myshopify.com/products/to-glycolic-acid-7-toning-solution
